filename	size	size_bytes	md5	url
damha_reference.fasta	92 B	92	35daa62f4d9d52cc6a355efd6e9b6d57	https://zenodo.org/api/records/15596052/files/damha_reference.fasta/content
flair_sep	1.40 KiB	1436	7f4e5fc662df47069325a8f6bd32a857	https://zenodo.org/api/records/15596052/files/flair_sep/content
NL43_GFP_R2R.fasta	9.60 KiB	9826	322729b2775cd916841c4f3e21e8d22f	https://zenodo.org/api/records/15596052/files/NL43_GFP_R2R.fasta/content
damha_m6A_synthesizedFragment.tar.xz	43.91 MiB	46046336	a6601eded86eba52c1b6374ffe1c200b	https://zenodo.org/api/records/15596052/files/damha_m6A_synthesizedFragment.tar.xz/content
11CI_Jurkats_HIV-GFP_cART.tar.xz	4.56 GiB	4893001644	f8c4474610bd5c7810ac415e2e119434	https://zenodo.org/api/records/15596052/files/11CI_Jurkats_HIV-GFP_cART.tar.xz/content
P5S2_PLWH_CD4.tar.xz	2.04 MiB	2138952	8755ac4695933a0617ce00ce40e83084	https://zenodo.org/api/records/15596052/files/P5S2_PLWH_CD4.tar.xz/content
7C_Jurkats_HIV-GFP.tar.xz	2.96 GiB	3180674464	7e791e5ab9c854ac26caf327e340945e	https://zenodo.org/api/records/15596052/files/7C_Jurkats_HIV-GFP.tar.xz/content
11BH_Jurkats_HIV-GFP.tar.xz	4.41 GiB	4732056956	3a8296a8132edc27310b60f02fe800bd	https://zenodo.org/api/records/15596052/files/11BH_Jurkats_HIV-GFP.tar.xz/content
11BH_RnaseH_Jurkats_HIV-GFP.tar.xz	33.28 MiB	34896256	dc8783d46b8d8c9d3275b8cc74b5cc32	https://zenodo.org/api/records/15596052/files/11BH_RnaseH_Jurkats_HIV-GFP.tar.xz/content
P6S_PLWH_CD4.tar.xz	1.71 MiB	1791636	36335b4af25667a3f0d1dafeb4c24c03	https://zenodo.org/api/records/15596052/files/P6S_PLWH_CD4.tar.xz/content
13B_P8C_HIV.tar.xz	33.28 MiB	34898744	9cc72dd898cf3dc9f1cca088b97046fc	https://zenodo.org/api/records/15596052/files/13B_P8C_HIV.tar.xz/content
14H_CD4_HIV_Supernatant.tar.xz	1.67 GiB	1791887592	591bd6ce448fa7ee35ac896fa2bc27e5	https://zenodo.org/api/records/15596052/files/14H_CD4_HIV_Supernatant.tar.xz/content
damha_unmodified_synthesizedFragment.tar.xz	175.08 MiB	183589580	eced12cf8dd3933f5600efd1e43e3cd9	https://zenodo.org/api/records/15596052/files/damha_unmodified_synthesizedFragment.tar.xz/content
STM2457_0uM_Jurkats_HIV-GFP.tar.xz	1.28 GiB	1379082960	1321f9b87e6b82b0ae150d0fc49801be	https://zenodo.org/api/records/15596052/files/STM2457_0uM_Jurkats_HIV-GFP.tar.xz/content
Jurkat_antisense.tar.xz	4.43 MiB	4647048	3c8f014a44a2fbc10aad173f108793eb	https://zenodo.org/api/records/15596052/files/Jurkat_antisense.tar.xz/content
t7inVitro_fullm5C.tar.xz	40.19 MiB	42137668	c7dc9eb15f361bafd4da60e724367365	https://zenodo.org/api/records/15596052/files/t7inVitro_fullm5C.tar.xz/content
t7inVitro_fullm6A.tar.xz	2.12 GiB	2271174304	f6350d906053be3a0829b01dcc9964c0	https://zenodo.org/api/records/15596052/files/t7inVitro_fullm6A.tar.xz/content
t7inVitro_fullPsi.tar.xz	554.90 MiB	581859316	d9c0dd453c2b8352efdca735007873d1	https://zenodo.org/api/records/15596052/files/t7inVitro_fullPsi.tar.xz/content
t7inVitro_unmodified.tar.xz	1006.23 MiB	1055105504	9c855f7e646a1a034d62c2f06e54fcda	https://zenodo.org/api/records/15596052/files/t7inVitro_unmodified.tar.xz/content
11BH_PAS_Jurkats_HIV-GFP.tar.xz	4.40 GiB	4722444716	3463b95d7d621453e30456a46be20d11	https://zenodo.org/api/records/15596052/files/11BH_PAS_Jurkats_HIV-GFP.tar.xz/content
STM2457_30uM_Jurkats_HIV-GFP.tar.xz	5.84 GiB	6273101904	587538eb1c719b3e803ea8fef45277e2	https://zenodo.org/api/records/15596052/files/STM2457_30uM_Jurkats_HIV-GFP.tar.xz/content
modkit_process_dorado1.0	4.54 KiB	4651	97dd286a42fd3dc6787607d0e4a83283	https://zenodo.org/api/records/15596052/files/modkit_process_dorado1.0/content
NL43_AF324493.2_R2R.fasta	8.98 KiB	9195	bc890b2460bd4c104323b2f7f0c6d89b	https://zenodo.org/api/records/15596052/files/NL43_AF324493.2_R2R.fasta/content
11E_Jurkats_HIV-GFP.tar.xz	375.56 MiB	393803312	ba88b5182297405c3c9286189276a197	https://zenodo.org/api/records/15596052/files/11E_Jurkats_HIV-GFP.tar.xz/content
10D_CD4_HIV.tar.xz	864.42 MiB	906413596	3f936d484c17a1908f4ece152d5c492e	https://zenodo.org/api/records/15596052/files/10D_CD4_HIV.tar.xz/content
11F_Jurkats_HIV-GFP_cART.tar.xz	350.61 MiB	367640344	a05e3dd18deac7158e7caa4d01c747ca	https://zenodo.org/api/records/15596052/files/11F_Jurkats_HIV-GFP_cART.tar.xz/content
7E_Jurkats_HIV-GFP_cART.tar.xz	611.82 MiB	641538428	e397715ea7d933d63b17bf4ce160cdc6	https://zenodo.org/api/records/15596052/files/7E_Jurkats_HIV-GFP_cART.tar.xz/content
